variant,top1,top5,top10,inference_time,model_size_mb,params,flops
fusion,93.00,98.50,99.00,0.0036,0.18,"25,251.0","47,320,960.0"
avg_pool,93.00,98.50,99.00,0.0034,0.18,"25,251.0","47,320,960.0"
single,72.00,89.00,90.00,0.0037,0.18,"25,251.0","47,320,960.0"
