variant,top1,top5,top10,inference_time,model_size_mb,params,flops
fusion,32.60,64.72,78.55,0.0016,0.18,"25,251.0","47,320,960.0"
avg_pool,32.60,64.72,78.55,0.0016,0.18,"25,251.0","47,320,960.0"
single,18.53,38.74,50.89,0.0017,0.18,"25,251.0","47,320,960.0"
