variant,top1,top5,top10,inference_time,model_size_mb,params,flops
fusion,100.00,100.00,100.00,0.0014,0.18,"25,251.0","47,320,960.0"
avg_pool,100.00,100.00,100.00,0.0014,0.18,"25,251.0","47,320,960.0"
single,100.00,100.00,100.00,0.0014,0.18,"25,251.0","47,320,960.0"
