view,top1,top5,top10,total,top1_acc,top5_acc,top10_acc
left,24,24,24,24,100.00,100.00,100.00
front,80,80,80,80,100.00,100.00,100.00
rear,1,1,1,1,100.00,100.00,100.00
right,5,5,5,5,100.00,100.00,100.00
